ID,  Milk,ChdBby,Vegges, Cerel, Bread,  Rice,  Meat,  Eggs,YogChs, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,  Salt,Scented, Salza
21,     4,     1,     1,     5,     3,     7,     9,     7,     1,     7,     8,     4,     6,     0,     8,     2,     5,     4,     5,     4
22,     8,     4,    10,     3,     0,     5,     3,     4,    10,     3,     0,     7,     3,     1,     1,     6,     6,     5,     0,     2
23,     7,     8,     3,     6,     1,     3,     3,     2,     9,     1,     0,     7,     4,     3,     3,     6,     4,     3,     0,     2
24,     3,     3,     2,     8,     2,     5,     7,     6,     1,     6,     9,     6,     6,     3,     8,     4,     8,     7,     5,     4
25,     1,     4,     2,     8,     4,     8,     9,     7,     1,     9,     5,     6,     5,     5,     8,     4,     7,     2,     6,     6
26,     9,     9,     6,     7,     6,     8,     6,     6,     3,     1,     2,     3,     4,     3,     1,     6,     0,     1,     5,     1
27,     1,     3,     0,     9,     1,     5,     7,     6,     5,    10,     6,     2,     9,     1,     7,     4,     6,     3,     3,     4
28,     5,     3,     4,     7,     4,     6,     8,     6,     6,     7,     0,     3,     4,     5,     3,     6,     8,     3,     4,     2
29,     2,     2,     8,    10,     7,     8,     8,     4,     6,     9,     0,     4,     3,    10,     4,     7,     8,     4,     4,     4
30,     4,     6,     7,     4,     2,     4,     3,     2,     7,     1,     1,     3,     4,     2,     3,     5,     6,     1,     0,     3
31,     4,     2,     6,     7,     7,     6,    10,     5,     4,     5,     2,     7,     3,     8,     2,     3,     8,     3,     6,     1
32,     4,     5,     9,     1,     1,     7,     4,     2,     6,     3,     2,     7,     3,     3,     3,     3,     4,     4,     0,     2
33,     3,     1,     1,     9,     3,     7,     9,     5,     1,     8,     9,     5,    10,     1,     7,     4,    10,     4,     3,     6
34,     4,     4,    10,     6,     6,     8,     7,     6,     6,     8,     2,     5,     6,     5,     4,     5,     8,     3,     4,     1
35,     1,     2,     2,     8,     2,     7,     8,     7,     1,     6,     4,     4,     9,     2,     8,     5,     7,     5,     5,     2
36,     7,     6,     6,     7,     6,     8,     5,     7,     6,     8,     1,     7,     3,     8,     1,     7,     6,     5,     3,     0
37,     0,     4,     1,     7,     1,     3,     9,     4,     0,     9,     7,     5,     8,     1,     8,     6,     7,     5,     4,     2
38,     6,     3,     9,     6,     7,     6,     8,     4,     6,     8,     2,     5,     4,     6,     6,     7,     6,     2,     3,     0
39,     5,     4,     9,     8,     4,     8,     5,     6,     5,     9,     2,     7,     6,     6,     3,     4,     6,     1,     5,     1
40,     5,     3,     3,     9,     2,     8,     8,     7,     2,     7,     7,     6,     6,     3,     8,     5,     6,     2,     4,     5
41,     1,     2,     3,     6,     3,     5,     6,     6,     2,     8,     6,     5,     9,     3,     8,     4,     9,     1,     8,     5
42,     6,     4,     8,     5,     5,     7,     6,     5,     4,     7,     0,     3,     3,     6,     5,     8,     7,     3,     3,     1
43,     4,     4,     8,     8,     5,     4,     8,     2,     4,    10,     3,     6,     2,     6,     1,     5,     8,     1,     5,     1
44,     5,     5,     3,     7,     7,     7,     7,     6,     4,     8,     1,     7,     4,     5,     4,     1,     7,     2,     5,     2
45,     2,     2,     2,     7,     2,     8,     9,     8,     3,     7,     8,     8,     7,     4,     6,     6,     8,     4,     1,     3
46,     5,     4,     5,     8,     4,     7,     6,     5,     7,     8,     0,     9,     4,     5,     4,     6,     5,     5,     6,     2
47,     4,     0,     1,     7,     3,     7,    10,     3,     1,     8,     6,     8,     7,     2,     9,     4,     8,     4,     3,     5
48,     2,     2,     4,     8,     4,     8,     9,     6,     0,     9,     8,     5,     9,     2,    10,     2,     7,     1,     7,     8
49,     4,     3,     5,     7,     6,     6,     5,     6,     5,     9,     0,     6,     3,     6,     4,     4,     8,     2,     3,     2
50,     5,     1,     1,     8,     1,     4,     9,     7,     0,     7,     9,     7,     7,     2,     9,     2,     6,     4,     4,     5
51,     5,     5,     7,     2,     1,     2,     5,     4,     9,     3,     2,     7,     4,     2,     4,     5,     4,     4,     0,     3
52,     3,     4,     4,     9,     3,     8,     9,     7,     3,    10,     6,     5,     7,     1,     8,     4,     9,     3,     6,     7
53,     4,     4,     7,     8,     8,     3,     3,     4,     7,     8,     0,     9,     3,     9,     3,     4,     9,     1,     6,     3
54,     2,     1,     0,     9,     5,     6,     9,     6,     0,    10,     7,     5,     9,     2,    10,     6,     7,     1,     5,     3
55,     7,     5,    10,     3,     1,     7,     1,     1,     8,     0,     1,     8,     4,     1,     3,     5,     4,     3,     1,     3
56,    10,     9,     9,     6,     5,     7,     9,     4,     5,     2,     0,     7,     4,     2,     4,     4,     1,     6,     4,     1
57,     6,     6,     4,     5,     7,     3,     7,     5,     2,     8,     0,     8,     5,     8,     4,     5,     6,     5,     4,     0
58,     1,     4,     1,     9,     3,     5,     7,     6,     0,     8,     5,     8,     7,     3,     6,     4,     5,     4,     6,     4
59,     9,     8,     8,    10,     8,     7,     6,     6,     8,     2,     3,     7,     2,     1,     2,     6,     2,     4,     3,     3
60,     4,     9,     7,     5,     1,     5,     2,     4,    10,     1,     0,     5,     1,     0,     6,     6,     5,     2,     0,     4
61,    10,     5,     5,     7,     7,     7,     7,     3,     7,     1,     0,     5,     6,     3,     3,     3,     0,     6,     3,     2
62,    10,     9,     5,     6,     5,     8,     6,     6,     7,     4,     1,     7,     5,     1,     6,     3,     1,     2,     4,     2
63,     2,     0,     3,     8,     2,     7,     9,     5,     1,     8,     8,     8,     6,     4,     7,     4,     6,     3,     6,     6
64,     4,     4,     6,     4,     0,     4,     1,     0,     7,     4,     1,     7,     0,     4,     2,     5,     3,     2,     0,     3
65,     4,     6,     9,     2,     1,     4,     3,     0,     8,     1,     0,     6,     4,     5,     3,     6,     4,     6,     0,     4
66,     2,     1,     1,     7,     1,     5,     9,     5,     0,    10,     6,     5,     8,     5,     9,     4,     7,     3,     6,     2
67,     9,     8,     8,     7,     6,     7,     8,     5,     8,     1,     3,     6,     6,     1,     0,     8,     2,     0,     4,     0
68,     5,     6,     9,     7,     2,     4,     2,     6,     8,     1,     1,     2,     5,     3,     3,     1,     3,     3,     1,     5
69,     4,     5,     8,     2,     2,     8,     2,     3,     9,     3,     0,     5,     2,     0,     2,     4,     2,     3,     1,     5
70,     4,     6,     8,     3,     1,     6,     1,     3,     8,     0,     1,     5,     6,     3,     4,     7,     5,     1,     0,     1
71,     9,     9,     8,     7,     8,     7,     6,    10,     4,     2,     1,     3,     6,     4,     2,     8,     1,     3,     6,     3
72,     6,     4,     9,     5,     0,     1,     6,     2,     9,     1,     1,     5,     2,     6,     3,     3,     3,     5,     0,     3
73,     2,     3,     1,     6,     2,     3,    10,     7,     0,     6,     8,     8,     4,     3,     7,     4,     7,     5,     7,     7
74,    10,     6,     7,     8,     7,     6,     8,     5,     9,     4,     0,     3,     4,     3,     2,     4,     3,     4,     6,     4
75,     9,     7,     9,     6,     8,     8,    10,     5,     5,     2,     1,     6,     5,     1,     1,     4,     2,     4,     3,     4
76,     2,     2,     2,     7,     4,     6,    10,     7,     1,    10,     8,     5,     6,     2,     9,     8,     7,     3,     6,     5
77,     3,     3,     1,     7,     4,     4,     9,     8,     1,     8,     6,     5,     6,     2,     8,     6,     7,     5,     6,     3
78,     6,     6,     4,     6,     7,     7,     8,     4,     5,    10,     2,     5,     5,     6,     4,     5,     8,     3,     5,     1
79,    10,     8,     8,     8,    10,     8,     6,     4,     5,     1,     2,     6,     4,     3,     2,     4,     0,     1,     5,     1
80,     5,     5,     5,     7,     5,     8,     9,     6,     6,     9,     0,     5,     7,     4,     4,     4,     7,     5,     6,     4
81,     1,     4,     1,    10,     3,     4,    10,     8,     1,    10,     8,     8,     7,     4,     7,     3,     8,     3,     7,     4
82,     3,     2,     1,     6,     0,     7,     9,     5,     1,     8,     3,     5,     9,     1,     9,     4,     7,     2,     2,     6
83,     5,     9,     8,     7,     5,     7,     9,     5,     4,     6,     1,     5,     3,     7,     5,     7,     7,     2,     4,     4
84,     6,     4,     8,     5,     2,     7,     3,     3,     4,     1,     0,     5,     4,     2,     5,     2,     5,     3,     1,     4
85,     7,     4,     6,     9,     3,     8,     5,     4,     6,     7,     1,     5,     5,     5,     4,     4,     5,     6,     6,     1
86,    10,     8,     6,     8,     6,     6,     8,     4,     8,     1,     2,     4,     3,     3,     1,     8,     1,     1,     4,     1
87,     6,     5,     6,     7,     0,     4,     1,     2,     9,     1,     0,     5,     1,     1,     3,     5,     2,     4,     1,     2
88,     6,     5,     9,     5,     5,     8,     8,     4,     7,     9,     0,     7,     2,     7,     5,     3,     6,     2,     5,     1
89,     2,     5,     2,     8,     2,     7,     9,     8,     2,     9,     8,     9,     8,     1,     8,     3,     6,     2,     3,     5
90,     9,     8,     6,     7,     7,     6,     8,     8,     8,     4,     2,     5,     3,     3,     1,     7,     2,     3,     5,     3
91,     3,     3,     3,     9,     2,     5,    10,     6,     1,     8,     4,     5,     7,     6,    10,     4,     8,     5,     3,     1
92,    10,     9,     9,     8,     7,     5,     6,     3,    10,     5,     3,     8,     8,     1,     4,     5,     0,     4,     6,     4
93,     3,     4,     8,     3,     1,     4,     4,     3,     9,     1,     2,     6,     5,     1,     2,     3,     5,     2,     0,     3
94,     6,     5,     8,     4,     0,     5,     0,     2,     9,     3,     0,     8,     3,     2,     3,     7,     3,     5,     0,     1
95,     4,     0,     2,     6,     5,     6,    10,     8,     0,     9,     6,     7,     8,     1,     7,     5,     8,     3,     6,     3
96,     3,     3,     4,     7,     1,     7,     9,     9,     1,     7,     6,     3,    10,     1,     7,     5,     8,     3,     7,     4
97,     3,     1,     2,     8,     1,     7,     9,     6,     1,     6,     5,     4,     8,     2,     9,     7,     7,     5,     7,     8
98,     3,     6,     7,     2,     0,     6,     3,     0,     9,     4,     1,     8,     2,     5,     3,     5,     5,     3,     1,     4
99,     7,     8,     5,     5,     8,     5,     4,     3,     7,    10,     0,     5,     7,     8,     4,     6,     7,     1,     4,     1
100,     0,     3,     3,     9,     2,     8,     8,     5,     1,     8,     5,     7,     8,     3,     8,     6,     8,     3,     7,     5
101,     9,     9,     7,     6,     7,     6,     5,     7,     5,     1,     1,     8,     3,     1,     4,     8,     1,     4,     9,     3
102,     4,     5,     1,     7,     3,     7,     9,     9,     1,    10,     8,     3,     6,     2,     9,     3,     5,     3,     4,     6
103,     9,     7,     8,     9,     8,     8,     6,     8,     4,     1,     1,     7,     2,     2,     2,     4,     0,     7,     3,     1
104,    10,     8,     8,     7,     6,     6,     8,     5,     3,     1,     2,     4,     5,     2,     2,     3,     3,     5,     6,     2
105,     9,     8,     9,    10,     9,     7,     7,     7,     5,     1,     2,     4,     5,     4,     1,     6,     2,     2,     4,     2
106,     9,     8,     8,    10,     7,     7,     6,     7,     9,     3,     0,     4,     2,     3,     3,     4,     1,     5,     7,     1
107,    10,     6,     8,     7,     8,     4,     5,     4,     6,     0,     1,     4,     2,     3,     1,     5,     1,     3,     4,     4
108,    10,     7,     8,     6,     8,     6,     7,     6,     8,     3,     0,     8,     3,     1,     1,     6,     2,     3,     3,     1
109,     2,     2,     2,     8,     0,     7,    10,     7,     1,     7,     6,     7,     7,     1,    10,     3,     7,     2,     5,     3
110,    10,     9,     5,     6,     7,     7,     9,     2,     5,     2,     1,     8,     2,     4,     1,     5,     2,     2,     5,     2
111,     3,     6,     6,     4,     0,     6,     2,     1,     6,     2,     1,     6,     4,     2,     2,     7,     2,     3,     0,     6
112,     4,     4,     8,     5,     1,     4,     1,     1,     8,     1,     2,     3,     5,     1,     3,     7,     3,     2,     2,     0
113,     1,     2,     3,     5,     1,     6,    10,     7,     0,     8,     5,     8,     5,     1,     7,     7,     7,     4,     4,     6
114,     4,     5,     6,     6,     6,     6,     8,     5,     7,     9,     0,     3,     1,     8,     5,     3,     7,     5,     6,     1
115,     6,     3,     4,     5,     0,     6,     1,     4,     7,     5,     0,     4,     2,     3,     3,     5,     3,     3,     0,     2
116,     2,     4,     6,     6,     0,     4,     4,     0,    10,     2,     1,     5,     1,     3,     5,     4,     3,     0,     0,     4
117,     4,     5,     9,     7,     5,     7,     5,     6,     5,     6,     1,     9,     7,     6,     6,     6,     9,     2,     3,     2
118,    10,     7,     9,    10,     9,     7,     4,     4,     8,     4,     0,     6,     3,     3,     1,     5,     1,     4,     4,     2
119,     6,     3,     8,     7,     6,     4,     7,     8,     7,    10,     2,     7,     3,     8,     3,     7,     8,     2,     4,     2
120,     4,     0,     8,     7,     6,     8,     6,     4,     6,    10,     1,     6,     4,     3,     4,     6,     7,     3,     6,     1
121,     4,     6,     8,     4,     1,     4,     2,     3,     6,     2,     0,     9,     3,     2,     3,     2,     3,     3,     0,     1
122,     6,     4,     8,     8,     4,     5,     6,     7,     6,    10,     0,     6,     4,     6,     5,     5,     9,     3,     6,     2
123,     6,     2,     5,     1,     1,     6,     2,     1,     9,     1,     0,     4,     5,     2,     5,     7,     3,     1,     0,     1
124,     7,     4,     9,     2,     0,     8,     1,     0,    10,     2,     1,     8,     4,     1,     0,     3,     5,     5,     0,     4
125,     8,     3,     7,     6,     4,     8,     6,     5,     5,     9,     3,     6,     4,     6,     4,     4,     6,     3,     6,     4
126,     3,     3,     7,     6,     6,     7,     7,     5,     5,     9,     3,     4,     3,     6,     3,     5,     7,     3,     4,     1
127,     6,     5,     9,     4,     0,     6,     4,     2,     6,     5,     1,     5,     4,     4,     4,     8,     5,     1,     1,     5
128,     2,     2,     4,    10,     4,     6,    10,     6,     1,     8,     4,     4,     5,     2,     8,     3,     8,     1,     5,     6
129,     7,     4,     9,     5,     0,     6,     5,     4,     8,     4,     0,     5,     2,     1,     4,     7,     5,     1,     1,     2
130,    10,     9,     6,     9,     8,     7,     6,     3,     6,     3,     2,     6,     5,     3,     2,     5,     1,     3,     5,     1
131,     1,     2,     0,     8,     3,     7,    10,     6,     1,     8,     8,     5,     7,     2,     8,     3,     5,     3,     4,     4
132,     5,     1,    10,     6,     7,     7,     9,     7,     8,     9,     0,     5,     3,     6,     2,     3,     7,     8,     6,     3
133,     5,     3,     7,     7,     7,     6,     8,     8,     8,     7,     0,     7,     3,     8,     4,     7,     3,     3,     5,     1
134,     5,     5,     7,     6,     0,     5,     3,     3,     8,     1,     2,     4,     3,     2,     2,     6,     4,     4,     1,     3
135,     2,     2,     4,     9,     2,     7,     9,     9,     1,     8,     9,     4,     5,     4,     8,     6,     5,     3,     5,     6
136,     3,     6,     8,     2,     0,     4,     3,     2,     8,     2,     0,     8,     1,     1,     4,     5,     3,     5,     1,     4
137,     2,     5,     7,     6,     6,     6,     9,     7,     7,     9,     1,     6,     4,     7,     6,     6,     6,     1,     8,     1
138,    10,     6,     6,     9,     6,     6,     6,     3,     6,     2,     1,     4,     4,     2,     2,     7,     0,     5,     6,     1
139,    10,     6,     6,     9,     5,     7,     5,     5,     5,     5,     2,     6,     2,     2,     1,     3,     2,     3,     6,     3
140,     5,     3,     9,     2,     1,     6,     5,     2,     9,     1,     2,     5,     1,     5,     5,     5,     3,     2,     0,     3
141,     8,     7,     9,     6,     6,     5,     7,     5,     5,     1,     0,     8,     2,     2,     3,     4,     0,     3,     4,     1
142,     1,     2,     4,     7,     3,     5,     8,     7,     1,     8,     7,     5,     8,     2,     6,     4,     9,     1,     8,     4
143,     4,     3,     4,     8,     4,     4,     7,     3,     5,     9,     1,     7,     5,     7,     6,     7,     9,     2,     3,     2
144,     8,     9,     8,     8,     9,     5,     7,     3,     8,     2,     1,     5,     2,     3,     1,     4,     1,     5,     0,     0
145,     9,     5,     9,     5,     4,     9,     9,     4,     7,     8,     2,     7,     4,     5,     7,     6,     9,     1,     5,     2
146,     4,     3,     7,     8,     7,     8,     8,     5,     4,     9,     3,     6,     3,     7,     4,     6,     7,     3,     8,     1
147,     6,     5,     6,     7,     3,     7,     8,     7,     6,     9,     2,     9,     6,     7,     3,     5,     7,     4,     5,     2
148,     1,     1,     3,     8,     1,     7,    10,     7,     3,     7,     8,     6,     3,     2,     7,     5,     9,     0,     4,     6
149,     3,     2,     0,     9,     4,     6,     9,     6,     1,     7,    10,     7,     6,     1,     8,     6,     9,     1,     5,     5
150,     5,     5,     6,     7,     6,     9,     7,     5,     8,     8,     0,     7,     6,     5,     3,     6,     5,     4,     3,     2
151,     2,     3,     2,     7,     1,     6,     9,     6,     1,     9,     7,     8,     8,     2,     9,     5,     8,     4,     5,     4
152,    10,     9,     9,     7,     8,     5,     7,     6,     6,     3,     1,     3,     4,     4,     5,     3,     1,     2,     3,     0
153,     5,     5,     6,     4,     0,     4,     1,     4,     9,     1,     0,     4,     0,     3,     3,     4,     5,     0,     2,     2
154,     6,     5,     8,     4,     0,     5,     3,     4,     9,     2,     1,     3,     5,     2,     5,     5,     2,     6,     0,     1
155,     5,     3,     8,     7,     6,     5,     8,     6,     4,     7,     0,     6,     3,     5,     1,     6,     9,     3,     6,     3
156,     3,     6,     6,     7,     6,     6,     5,     7,     5,     9,     1,     5,     6,     5,     4,     6,     7,     4,     5,     4
157,    10,     9,     8,     9,     7,     8,     7,     4,     6,     3,     1,     4,     4,     4,     1,     3,     0,     3,     6,     2
158,     4,     5,     8,     5,     1,     4,     2,     4,     8,     0,     1,     3,     2,     0,     3,     4,     5,     3,     1,     3
159,     2,     1,     2,     8,     3,     8,    10,     6,     0,     9,     7,     6,     6,     2,     9,     4,     6,     2,     6,     8
160,     3,     5,     8,     5,     0,     7,     1,     1,     5,     1,     1,     5,     4,     4,     4,     3,     3,     3,     0,     3
161,     8,     4,     9,     3,     0,     5,     3,     1,    10,     0,     2,     7,     5,     2,     1,     9,     6,     4,     1,     1
162,     6,     5,     9,     2,     0,     5,     2,     3,     9,     4,     1,     2,     1,     1,     4,     6,     6,     5,     0,     2
163,     6,     1,     7,     7,     9,     5,     4,     8,     6,     8,     0,     7,     3,     8,     5,     4,     5,     4,     3,     2
164,     7,     6,     5,     4,     0,     6,     3,     5,     9,     0,     0,     4,     1,     3,     5,     2,     5,     3,     1,     3
165,     6,     6,     5,     2,     0,     6,     3,     7,    10,     1,     1,     5,     3,     2,     4,     7,     4,     2,     0,     3
166,    10,     8,     8,     7,     3,     6,     7,     4,     7,     1,     0,     5,     5,     3,     2,     5,     1,     4,     3,     1
167,     6,     3,     9,     4,     0,     8,     3,     3,    10,     3,     2,     5,     1,     0,     5,     6,     4,     3,     0,     5
168,     3,     5,     7,     4,     0,     7,     1,     3,     7,     3,     2,     6,     2,     3,     1,     6,     6,     1,     0,     3
169,     5,     5,     9,     3,     0,     5,     1,     4,     8,     1,     0,     6,     2,     4,     3,     3,     5,     4,     0,     1
170,     5,     8,     7,     3,     0,     5,     1,     3,     7,     1,     0,     5,     2,     2,     0,     3,     5,     3,     0,     1
171,     1,     2,     3,     9,     3,     7,     9,     5,     0,     8,     8,     6,     8,     3,     9,     4,     9,     6,     5,     6
172,     5,     3,     6,     9,     7,     5,     6,     6,     6,    10,     2,     4,     1,     6,     4,     2,     9,     6,     7,     1
173,     4,     4,     8,     3,     0,     3,     3,     2,     6,     1,     0,     8,     2,     3,     6,     4,     6,     2,     0,     3
174,     0,     0,     2,    10,     0,     6,     7,     6,     0,     7,     9,     4,     6,     2,     7,     4,     8,     2,     6,     7
175,    10,     8,     9,     6,     6,     7,     8,     2,     7,     3,     2,     7,     4,     2,     1,     6,     0,     1,     4,     4
176,     3,     5,     3,     9,     2,     4,     9,     8,     0,     8,     8,     5,     8,     5,    10,     3,     7,     3,     6,     7
177,     8,     7,     7,     8,     7,     6,     7,     9,     5,     2,     1,     4,     6,     3,     1,     5,     0,     3,     7,     2
178,     2,     1,     2,     9,     3,     9,    10,     6,     1,     8,     6,     6,     7,     5,     8,     3,     7,     2,     2,     6
179,    10,     6,    10,     6,     7,     8,     6,     5,     7,     1,     1,     4,     2,     3,     0,     9,     0,     5,     5,     2
180,     5,     3,     7,     6,     7,     8,     6,     7,     4,     9,     1,     7,     3,     7,     3,     5,     7,     1,     5,     2
181,     6,     2,     8,     1,     0,     4,     2,     2,     6,     0,     1,     6,     6,     3,     1,     8,     3,     4,     0,     2
182,     7,     8,     8,     2,     0,     3,     2,     3,     8,     2,     1,     5,     4,     1,     3,     6,     6,     4,     0,     4
183,     5,     8,     7,     5,     2,     4,     2,     4,     7,     6,     1,     5,     4,     2,     4,     4,     6,     1,     0,     3
184,    10,     6,     6,     9,     8,     7,     8,     6,     5,     4,     1,     7,     6,     3,     3,     3,     1,     2,     7,     2
185,     3,     3,     8,     5,     4,     5,     5,     5,     7,     8,     0,     5,     4,     8,     4,     4,     8,     2,     4,     2
186,     5,     4,     4,     9,     5,     5,     7,     4,     5,     7,     2,     8,     3,     6,     7,     6,     6,     2,     6,     5
187,     4,     4,     8,     4,     5,     7,     2,     3,     6,     7,     0,     5,     3,     6,     5,     4,     7,     4,     6,     0
188,     2,     4,     8,     6,     0,     4,     1,     1,     8,     2,     2,     4,     3,     4,     2,     4,     4,     3,     1,     1
189,     1,     0,     2,     7,     2,     7,     9,     7,     1,     6,     8,     5,     7,     1,     7,     4,    10,     3,     4,     8
190,     1,     2,     2,     7,     6,     6,     8,     7,     1,     6,     9,     6,     5,     3,     7,     4,     7,     2,     8,     6
191,     7,     3,     8,     9,     7,     6,     9,     5,     4,     8,     1,     5,     7,     7,     7,     5,     6,     1,     5,     5
192,     9,     8,     9,     7,     7,     6,     7,     5,     5,     2,     2,     3,     3,     4,     3,     6,     1,     3,     5,     2
193,    10,     9,     8,     7,    10,     8,     6,     5,     5,     2,     0,     4,     5,     3,     2,     6,     0,     3,     8,     3
194,    10,     8,     7,     9,     9,     6,     6,     3,     7,     5,     2,     6,     3,     3,     4,     6,     0,     4,     5,     4
195,     5,     2,     8,     3,     1,     4,     1,     5,     6,     2,     2,     7,     4,     1,     2,     6,     3,     4,     0,     4
196,     5,     3,     8,     4,     0,     6,     0,     3,     9,     3,     1,     3,     2,     2,     3,     4,     4,     1,     0,     1
197,     7,     2,     7,     8,     1,     6,     2,     3,     8,     4,     2,     5,     4,     2,     7,     8,     4,     3,     1,     2
198,     8,     3,     7,     8,     7,     4,     6,     8,     5,     9,     0,     5,     2,     6,     5,     7,     7,     3,     5,     2
199,    10,    10,     8,     7,     8,     6,     5,     5,     5,     0,     1,     6,     3,     2,     2,     6,     0,     1,     6,     4
200,     8,     2,     6,     7,     7,     6,     7,     2,     9,     9,     1,     7,     4,     8,     4,     6,     6,     5,     6,     3
201,     3,     2,     1,     8,     5,     5,     9,     6,     0,    10,     5,     5,     8,     3,     8,     7,     6,     2,     8,     6
202,     1,     1,     2,     8,     6,     8,     8,     2,     0,     8,     8,     5,     8,     3,     8,     4,    10,     4,     5,     4
203,     7,     3,     6,     8,     6,     6,    10,    10,     5,     9,     0,     1,     4,     7,     5,     6,     5,     2,     3,     3
204,    10,     8,     9,     9,     8,     8,     8,     3,     4,     3,     0,     6,     3,     2,     2,     4,     2,     4,     4,     3
205,     0,     1,     1,     7,     4,     8,    10,     9,     1,     8,     8,     5,     7,     4,    10,     4,     7,     3,     5,     5
206,     5,     3,     7,     5,     7,     6,     6,     5,     5,     9,     1,     6,     4,     9,     3,     6,     8,     4,     5,     3
207,    10,    10,     8,     8,     8,     6,     6,     3,     6,     2,     1,     9,     5,     2,     5,     9,     0,     3,     5,     2
208,     7,     7,     7,     6,     2,     5,     1,     1,     8,     4,     1,     6,     4,     1,     5,     7,     3,     5,     1,     2
209,     8,     6,     8,     2,     1,     5,     2,     3,     7,     1,     2,     3,     2,     1,     2,     3,     4,     3,     0,     2
210,     6,     2,     9,     5,     6,     2,     7,     5,     6,     7,     0,     4,     2,     7,     3,     6,     8,     3,     4,     1
211,    10,    10,     7,     5,     8,     5,     5,     5,     6,     1,     3,     9,     3,     2,     2,     5,     1,     2,     6,     2
212,     6,     6,     9,     4,     0,     5,     3,     3,     8,     1,     1,     5,     5,     1,     5,     5,     7,     3,     0,     4
213,    10,     7,     6,     7,     6,     8,     9,     4,     3,     2,     1,     3,     4,     2,     3,     7,     0,     2,     5,     0
214,     6,     5,     7,     3,     0,     4,     2,     2,     8,     0,     1,     5,     3,     3,     5,     7,     1,     2,     1,     6
215,     8,    10,     6,     9,     6,     6,     7,     3,     4,     1,     1,     3,     4,     1,     2,     4,     0,     2,     5,     2
216,     4,     5,     6,     5,     8,     8,     6,     5,     6,     9,     2,     8,     5,     6,     2,     7,     7,     3,     8,     2
217,    10,     5,     7,     8,     8,     5,     4,     6,     4,     4,     0,     5,     3,     3,     3,     4,     1,     4,     4,     3
218,     3,     1,     2,     9,     3,     7,     9,     7,     0,     9,     8,     5,     8,     1,     9,     6,     6,     1,     7,     6
219,     2,     2,     0,     9,     4,     7,    10,     6,     2,     6,     3,     6,     4,     3,     7,     5,     7,     3,     5,     9
220,     9,     8,     6,     8,     8,     7,     8,     4,     9,     3,     1,     4,     4,     3,     1,     8,     0,     4,     6,     1
221,     3,     4,     7,     7,     6,     9,     5,     3,     4,     9,     2,     4,     5,     5,     3,     4,     6,     2,     5,     1
222,     3,     2,     4,     7,     4,     7,    10,     7,     2,     7,     8,     5,     7,     2,     7,     4,     7,     4,     5,     6
